RAM,Front Camera,Back Camera,Battery Capacity,Screen Size,Launched Price (USA),ROM,Company_Apple,Company_Honor,Company_Oppo,Company_Other,Company_Samsung,Company_Vivo,Processor_Avg_Price_Scaled
6.0,12.0,48.0,3.6,6.1,799.0,0.125,1,0,0,0,0,0,8.99
6.0,12.0,48.0,3.6,6.1,849.0,0.25,1,0,0,0,0,0,8.99
6.0,12.0,48.0,3.6,6.1,899.0,0.5,1,0,0,0,0,0,8.99
6.0,12.0,48.0,4.2,6.7,899.0,0.125,1,0,0,0,0,0,8.99
6.0,12.0,48.0,4.2,6.7,949.0,0.25,1,0,0,0,0,0,8.99
6.0,12.0,48.0,4.2,6.7,999.0,0.5,1,0,0,0,0,0,8.99
6.0,12.0,50.0,4.4,6.1,999.0,0.125,1,0,0,0,0,0,11.24
8.0,12.0,50.0,4.4,6.1,1049.0,0.25,1,0,0,0,0,0,11.24
8.0,12.0,50.0,4.4,6.1,1099.0,0.5,1,0,0,0,0,0,11.24
6.0,12.0,48.0,4.5,6.7,1099.0,0.125,1,0,0,0,0,0,11.24
8.0,12.0,48.0,4.5,6.7,1199.0,0.25,1,0,0,0,0,0,11.24
8.0,12.0,48.0,4.5,6.7,1299.0,0.5,1,0,0,0,0,0,11.24
6.0,12.0,48.0,3.2,6.1,799.0,0.125,1,0,0,0,0,0,11.406666666666668
6.0,12.0,48.0,3.2,6.1,849.0,0.25,1,0,0,0,0,0,11.406666666666668
6.0,12.0,48.0,3.2,6.1,949.0,0.5,1,0,0,0,0,0,11.406666666666668
6.0,12.0,48.0,4.3,6.7,899.0,0.125,1,0,0,0,0,0,11.406666666666668
6.0,12.0,48.0,4.3,6.7,999.0,0.25,1,0,0,0,0,0,11.406666666666668
6.0,12.0,48.0,4.3,6.7,1049.0,0.5,1,0,0,0,0,0,11.406666666666668
6.0,12.0,48.0,4.4,6.1,1099.0,0.125,1,0,0,0,0,0,11.406666666666668
8.0,12.0,48.0,4.4,6.1,1199.0,0.25,1,0,0,0,0,0,11.406666666666668
8.0,12.0,48.0,4.4,6.1,1299.0,0.5,1,0,0,0,0,0,11.406666666666668
6.0,12.0,48.0,4.5,6.7,1199.0,0.125,1,0,0,0,0,0,11.406666666666668
8.0,12.0,48.0,4.5,6.7,1299.0,0.25,1,0,0,0,0,0,11.406666666666668
8.0,12.0,48.0,4.5,6.7,1399.0,0.5,1,0,0,0,0,0,11.406666666666668
6.0,12.0,12.0,3.2,6.1,799.0,0.125,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,3.2,6.1,849.0,0.25,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,3.2,6.1,949.0,0.5,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,4.325,6.7,899.0,0.125,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,4.325,6.7,999.0,0.25,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,4.325,6.7,1049.0,0.5,1,0,0,0,0,0,9.795555555555556
6.0,12.0,48.0,4.2,6.1,1099.0,0.125,1,0,0,0,0,0,11.406666666666668
8.0,12.0,48.0,4.2,6.1,1199.0,0.25,1,0,0,0,0,0,11.406666666666668
8.0,12.0,48.0,4.2,6.1,1299.0,0.5,1,0,0,0,0,0,11.406666666666668
6.0,12.0,48.0,4.5,6.7,1199.0,0.125,1,0,0,0,0,0,11.406666666666668
8.0,12.0,48.0,4.5,6.7,1299.0,0.25,1,0,0,0,0,0,11.406666666666668
8.0,12.0,48.0,4.5,6.7,1399.0,0.5,1,0,0,0,0,0,11.406666666666668
4.0,12.0,12.0,2.438,5.4,699.0,0.125,1,0,0,0,0,0,9.795555555555556
4.0,12.0,12.0,2.438,5.4,799.0,0.25,1,0,0,0,0,0,9.795555555555556
4.0,12.0,12.0,2.438,5.4,899.0,0.5,1,0,0,0,0,0,9.795555555555556
4.0,12.0,12.0,3.24,6.1,799.0,0.125,1,0,0,0,0,0,9.795555555555556
4.0,12.0,12.0,3.24,6.1,899.0,0.25,1,0,0,0,0,0,9.795555555555556
4.0,12.0,12.0,3.24,6.1,999.0,0.5,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,3.095,6.1,999.0,0.125,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,3.095,6.1,1099.0,0.25,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,3.095,6.1,1199.0,0.5,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,4.352,6.7,1099.0,0.125,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,4.352,6.7,1199.0,0.25,1,0,0,0,0,0,9.795555555555556
6.0,12.0,12.0,4.352,6.7,1399.0,0.5,1,0,0,0,0,0,9.795555555555556
4.0,12.0,12.0,2.227,5.4,699.0,0.0625,1,0,0,0,0,0,9.597142857142856
4.0,12.0,12.0,2.227,5.4,799.0,0.125,1,0,0,0,0,0,9.597142857142856
4.0,12.0,12.0,2.227,5.4,899.0,0.25,1,0,0,0,0,0,9.597142857142856
4.0,12.0,12.0,2.815,6.1,799.0,0.0625,1,0,0,0,0,0,9.597142857142856
4.0,12.0,12.0,2.815,6.1,899.0,0.125,1,0,0,0,0,0,9.597142857142856
4.0,12.0,12.0,2.815,6.1,999.0,0.25,1,0,0,0,0,0,9.597142857142856
6.0,12.0,12.0,2.815,6.1,999.0,0.125,1,0,0,0,0,0,9.597142857142856
6.0,12.0,12.0,2.815,6.1,1099.0,0.25,1,0,0,0,0,0,9.597142857142856
6.0,12.0,12.0,2.815,6.1,1199.0,0.5,1,0,0,0,0,0,9.597142857142856
6.0,12.0,12.0,3.687,6.7,1099.0,0.125,1,0,0,0,0,0,9.597142857142856
6.0,12.0,12.0,3.687,6.7,1199.0,0.25,1,0,0,0,0,0,9.597142857142856
6.0,12.0,12.0,3.687,6.7,1399.0,0.5,1,0,0,0,0,0,9.597142857142856
4.0,12.0,12.0,3.11,6.1,699.0,0.0625,1,0,0,0,0,0,9.226363636363637
4.0,12.0,12.0,3.11,6.1,799.0,0.125,1,0,0,0,0,0,9.226363636363637
4.0,12.0,12.0,3.11,6.1,899.0,0.25,1,0,0,0,0,0,9.226363636363637
4.0,12.0,12.0,3.046,5.8,999.0,0.0625,1,0,0,0,0,0,9.226363636363637
4.0,12.0,12.0,3.046,5.8,1099.0,0.25,1,0,0,0,0,0,9.226363636363637
4.0,12.0,12.0,3.046,5.8,1199.0,0.5,1,0,0,0,0,0,9.226363636363637
4.0,12.0,12.0,3.969,6.5,1099.0,0.0625,1,0,0,0,0,0,9.226363636363637
4.0,12.0,12.0,3.969,6.5,1199.0,0.25,1,0,0,0,0,0,9.226363636363637
4.0,12.0,12.0,3.969,6.5,1399.0,0.5,1,0,0,0,0,0,9.226363636363637
3.0,7.0,12.0,2.716,5.8,999.0,0.0625,1,0,0,0,0,0,10.49
3.0,7.0,12.0,2.716,5.8,1099.0,0.25,1,0,0,0,0,0,10.49
4.0,7.0,12.0,2.658,5.8,999.0,0.0625,1,0,0,0,0,0,9.535454545454545
4.0,7.0,12.0,2.658,5.8,1099.0,0.25,1,0,0,0,0,0,9.535454545454545
4.0,7.0,12.0,2.658,5.8,1299.0,0.5,1,0,0,0,0,0,9.535454545454545
4.0,7.0,12.0,3.174,6.5,1099.0,0.0625,1,0,0,0,0,0,9.535454545454545
4.0,7.0,12.0,3.174,6.5,1249.0,0.25,1,0,0,0,0,0,9.535454545454545
4.0,7.0,12.0,3.174,6.5,1399.0,0.5,1,0,0,0,0,0,9.535454545454545
3.0,7.0,12.0,2.942,6.1,749.0,0.0625,1,0,0,0,0,0,9.535454545454545
3.0,7.0,12.0,2.942,6.1,799.0,0.125,1,0,0,0,0,0,9.535454545454545
3.0,7.0,12.0,2.942,6.1,899.0,0.25,1,0,0,0,0,0,9.535454545454545
4.0,12.0,12.0,7.608,10.9,599.0,0.0625,1,0,0,0,0,0,9.597142857142856
4.0,12.0,12.0,7.608,10.9,749.0,0.25,1,0,0,0,0,0,9.597142857142856
3.0,12.0,8.0,8.612,10.2,329.0,0.03125,1,0,0,0,0,0,9.226363636363637
3.0,12.0,8.0,8.612,10.2,429.0,0.125,1,0,0,0,0,0,9.226363636363637
3.0,7.0,8.0,5.124,7.9,399.0,0.0625,1,0,0,0,0,0,9.535454545454545
3.0,7.0,8.0,5.124,7.9,499.0,0.25,1,0,0,0,0,0,9.535454545454545
4.0,7.0,12.0,7.812,11.0,799.0,0.125,1,0,0,0,0,0,12.08090909090909
4.0,7.0,12.0,7.812,11.0,899.0,0.25,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,7.812,11.0,1099.0,0.5,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,9.72,12.9,999.0,0.125,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,9.72,12.9,1099.0,0.25,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,9.72,12.9,1299.0,0.5,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,10.307,13.0,1099.0,0.125,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,10.307,13.0,1199.0,0.25,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,10.307,13.0,1399.0,0.5,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,10.307,13.0,1599.0,1.0,1,0,0,0,0,0,12.08090909090909
6.0,7.0,12.0,10.307,13.0,1799.0,2.0,1,0,0,0,0,0,12.08090909090909
12.0,12.0,200.0,5.0,6.8,1199.0,0.125,0,0,0,0,1,0,10.156666666666666
